"","Country","Ladder","GDP","Support","LifeExp","Freedom","PosAffect","NegAffect","Continent","AA","Asia","Africa","Americas"
"33","Denmark",7.5577826499939,43612.6120213668,0.954451501369476,70.9155502319336,0.948230564594269,0.836115717887878,0.207583427429199,"Europe",FALSE,FALSE,FALSE,FALSE
"34","Dominican Republic",5.23869848251343,13887.1757396437,0.894753456115723,63.3088035583496,0.872712433338165,0.759945571422577,0.278095126152039,"North America",FALSE,FALSE,FALSE,TRUE
"35","Ecuador",6.11543750762939,10127.4932593431,0.842352092266083,67.1619873046875,0.846336305141449,0.846354007720947,0.365246593952179,"South America",FALSE,FALSE,FALSE,TRUE
"36","Egypt",4.55674076080322,10367.5510803738,0.80921858549118,61.4412307739258,0.65584522485733,0.611369669437408,0.370498210191727,"Africa",TRUE,FALSE,TRUE,FALSE
"37","El Salvador",6.13982486724854,8246.41057064705,0.79365998506546,64.1089630126953,0.799847006797791,0.76125568151474,0.345736473798752,"North America",FALSE,FALSE,FALSE,TRUE
"38","Estonia",5.6496753692627,27453.4802056954,0.937715113162994,67.3777618408203,0.84277069568634,0.726254880428314,0.176869258284569,"Europe",FALSE,FALSE,FALSE,FALSE
"39","Ethiopia",4.29784870147705,1600.0718324322,0.718718707561493,56.0490226745605,0.744307696819305,0.727070868015289,0.253940522670746,"Africa",TRUE,FALSE,TRUE,FALSE
"40","Finland",7.65984344482422,38900.5154139944,0.953940451145172,71.3826904296875,0.948372185230255,0.797325074672699,0.181998446583748,"Europe",FALSE,FALSE,FALSE,FALSE
"41","France",6.47520875930786,37655.9875862118,0.884922921657562,72.5975036621094,0.786780476570129,0.772661328315735,0.270036250352859,"Europe",FALSE,FALSE,FALSE,FALSE
"42","Gabon",4.83176422119141,19153.8141814563,0.780048966407776,56.1111450195312,0.698942363262177,0.640116572380066,0.432404667139053,"Africa",TRUE,FALSE,TRUE,FALSE
"43","Georgia",4.44838619232178,9499.85550982591,0.533412277698517,65.8591384887695,0.606468379497528,0.563896000385284,0.223224475979805,"Europe",FALSE,FALSE,FALSE,FALSE
"44","Germany",6.87376308441162,44541.1303901397,0.906029284000397,70.8631744384766,0.870515048503876,0.737745940685272,0.187254935503006,"Europe",FALSE,FALSE,FALSE,FALSE
"45","Ghana",4.51441144943237,4068.00634770185,0.64730316400528,53.6958198547363,0.751168370246887,0.668263912200928,0.304909706115723,"Africa",TRUE,FALSE,TRUE,FALSE
"46","Greece",5.30261945724487,24713.9414634984,0.802605867385864,71.2501373291016,0.481616854667664,0.70050436258316,0.336207509040833,"Europe",FALSE,FALSE,FALSE,FALSE
"47","Guatemala",6.35891628265381,7360.90593731407,0.81123548746109,62.1674537658691,0.862675726413727,0.84612250328064,0.321357190608978,"North America",FALSE,FALSE,FALSE,TRUE
"48","Guinea",3.60285472869873,1149.57573556477,0.675447046756744,50.4930992126465,0.725685179233551,0.686984658241272,0.374393790960312,"Africa",TRUE,FALSE,TRUE,FALSE
"49","Haiti",3.35230016708374,1652.19288148665,0.583742439746857,53.2077598571777,0.303540408611298,0.55277407169342,0.367341011762619,"North America",FALSE,FALSE,FALSE,TRUE
"50","Honduras",5.64815473556519,4878.43358258239,0.773909986019135,63.5860900878906,0.850046694278717,0.832396745681763,0.296846687793732,"North America",FALSE,FALSE,FALSE,TRUE
"51","Hong Kong S.A.R., China",5.49842071533203,54082.3399236665,0.832077920436859,75.9996948242188,0.799743413925171,0.664092779159546,0.213114589452744,"Asia",TRUE,TRUE,FALSE,FALSE
"52","Hungary",5.44890165328979,24922.5546210315,0.899511575698853,67.3092651367188,0.553951740264893,0.66591078042984,0.243325769901276,"Europe",FALSE,FALSE,FALSE,FALSE
"53","Iceland",7.51003456115723,43871.9171364642,0.984940052032471,72.0535430908203,0.951609551906586,0.873887896537781,0.158169165253639,"Europe",FALSE,FALSE,FALSE,FALSE
"54","India",4.17917728424072,6082.42416888218,0.6135293841362,59.3495979309082,0.820068776607513,0.69450443983078,0.345681458711624,"Asia",TRUE,TRUE,FALSE,FALSE
"55","Indonesia",5.13632535934448,10801.2013542716,0.791830599308014,60.4772834777832,0.829941630363464,0.832811951637268,0.341573596000671,"Asia",TRUE,TRUE,FALSE,FALSE
"56","Iran",4.65273094177246,17134.1347036023,0.566281199455261,65.6570816040039,0.7265922,0.68676495552063,0.525876820087433,"Asia",TRUE,TRUE,FALSE,FALSE
"57","Iraq",4.41253709793091,14569.9943723415,0.718956708908081,60.8536605834961,0.66616016626358,0.48869201540947,0.569758057594299,"Asia",TRUE,TRUE,FALSE,FALSE
"58","Ireland",7.04073143005371,54238.8440583618,0.958144009113312,71.4040679931641,0.874589145183563,0.809203028678894,0.21106331050396,"Europe",FALSE,FALSE,FALSE,FALSE
"59","Israel",7.159010887146,31807.7123327851,0.889660775661469,72.3062438964844,0.772297322750092,0.629189372062683,0.263090223073959,"Asia",TRUE,TRUE,FALSE,FALSE
"60","Italy",5.95452404022217,33922.8381279112,0.927212834358215,72.7275619506836,0.623741626739502,0.685422837734222,0.339173585176468,"Europe",FALSE,FALSE,FALSE,FALSE
"61","Ivory Coast",4.54254579544067,3489.36314227822,0.617400765419006,45.3593215942383,0.768789350986481,0.703616559505463,0.378029406070709,"Africa",TRUE,FALSE,TRUE,FALSE
"62","Japan",5.95465087890625,36091.4276060683,0.899773836135864,75.0888519287109,0.836064636707306,0.760108590126038,0.192402645945549,"Asia",TRUE,TRUE,FALSE,FALSE
"63","Jordan",5.27128458023071,10300.4467870369,0.819944739341736,64.3082733154297,0.771350622177124,0.640657842159271,0.311913371086121,"Asia",TRUE,TRUE,FALSE,FALSE
